occurrence,capture,lane_index,lane,lane_event_index,frame_index,subevent_index,source_actor,target_actor,header_u32_00,header_u32_04,header_u32_08,marker_count,snapshot,chronology_shape,prior_same_snapshot_distance
occurrence-001,accept_leve.pcapng,0,main,28,9,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-002,accept_leve.pcapng,0,main,57,21,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-003,accept_leve.pcapng,0,main,95,31,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-004,accept_leve.pcapng,0,main,128,43,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-005,accept_leve.pcapng,0,main,171,57,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-006,accept_leve.pcapng,0,main,202,67,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-007,accept_local_leve.pcapng,0,main,16,6,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-008,accept_local_leve.pcapng,0,main,55,18,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-009,accept_local_leve.pcapng,0,main,82,27,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-010,accept_local_leve.pcapng,0,main,125,40,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-011,accept_local_leve.pcapng,0,main,154,51,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-012,accept_quest.pcapng,0,main,10,0,10,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-013,accept_quest.pcapng,0,main,39,12,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-014,accept_quest.pcapng,0,main,66,20,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-015,accept_quest.pcapng,0,main,109,32,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-016,add_str.pcapng,0,main,12,8,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-017,add_str.pcapng,0,main,27,17,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-018,battle_mode_passive_mode.pcapng,0,main,30,10,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-019,buy_square_maple_shield.pcapng,0,main,16,6,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-020,buy_square_maple_shield.pcapng,0,main,44,15,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-021,buy_square_maple_shield.pcapng,0,main,81,25,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-022,buy_square_maple_shield.pcapng,0,main,107,33,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-023,buy_square_maple_shield.pcapng,0,main,153,44,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-024,buy_square_maple_shield.pcapng,0,main,185,56,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-025,change_to_botanist.pcapng,0,main,2,2,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-026,change_to_botanist.pcapng,0,main,42,13,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-027,change_to_botanist.pcapng,0,main,89,24,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-028,change_to_botanist.pcapng,0,main,125,33,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-029,change_to_botanist.pcapng,0,main,169,45,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-030,chat_say.pcapng,0,main,2,2,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-031,chat_shout.pcapng,0,main,15,9,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-032,coerthas_map.pcapng,0,main,8,4,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-033,coerthas_map.pcapng,0,main,21,13,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-034,combat_autoattack.pcapng,0,main,40,9,10,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-035,combat_autoattack.pcapng,0,main,88,33,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,changed-same-count-nonempty,
occurrence-036,combat_autoattack.pcapng,0,main,141,49,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,repeated-nonempty,1
occurrence-037,combat_autoattack.pcapng,0,main,185,63,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,repeated-nonempty,1
occurrence-038,combat_autoattack.pcapng,0,main,218,78,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,repeated-nonempty,1
occurrence-039,combat_autoattack.pcapng,0,main,470,102,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-003,changed-same-count-nonempty,
occurrence-040,combat_autoattack.pcapng,0,main,543,122,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-004,changed-same-count-nonempty,
occurrence-041,combat_autoattack.pcapng,0,main,872,147,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-005,changed-same-count-nonempty,
occurrence-042,combat_skills.pcapng,0,main,12,2,10,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-043,combat_skills.pcapng,0,main,47,14,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,changed-same-count-nonempty,
occurrence-044,combat_skills.pcapng,0,main,103,37,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,repeated-nonempty,1
occurrence-045,combat_skills.pcapng,0,main,158,58,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,repeated-nonempty,1
occurrence-046,combat_skills.pcapng,0,main,245,82,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,repeated-nonempty,1
occurrence-047,combat_skills.pcapng,0,main,489,100,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-003,changed-same-count-nonempty,
occurrence-048,combat_skills.pcapng,0,main,522,113,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-003,repeated-nonempty,1
occurrence-049,from_gridania_to_blackshroud.pcapng,0,main,0,0,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-050,from_gridania_to_blackshroud.pcapng,0,main,88,17,10,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,changed-same-count-nonempty,
occurrence-051,from_gridania_to_blackshroud.pcapng,0,main,162,33,11,value-001,value-001,value-002,value-003,value-004,1,snapshot-003,changed-same-count-nonempty,
occurrence-052,from_gridania_to_blackshroud.pcapng,0,main,246,49,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-004,changed-same-count-nonempty,
occurrence-053,from_gridania_to_blackshroud.pcapng,0,main,469,76,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-005,changed-same-count-nonempty,
occurrence-054,from_gridania_to_blackshroud.pcapng,0,main,512,89,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-006,changed-same-count-nonempty,
occurrence-055,from_gridania_to_blackshroud.pcapng,0,main,536,99,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-007,changed-same-count-nonempty,
occurrence-056,from_gridania_to_blackshroud.pcapng,0,main,553,108,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-008,changed-same-count-nonempty,
occurrence-057,from_gridania_to_blackshroud.pcapng,0,main,574,117,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-009,changed-same-count-nonempty,
occurrence-058,from_gridania_to_blackshroud.pcapng,0,main,591,126,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-010,changed-same-count-nonempty,
occurrence-059,from_gridania_to_blackshroud.pcapng,0,main,608,142,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-011,changed-same-count-nonempty,
occurrence-060,from_gridania_to_blackshroud.pcapng,0,main,622,156,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-012,changed-same-count-nonempty,
occurrence-061,from_gridania_to_blackshroud.pcapng,0,main,635,169,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-013,changed-same-count-nonempty,
occurrence-062,from_gridania_to_blackshroud.pcapng,0,main,642,176,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-014,changed-same-count-nonempty,
occurrence-063,from_gridania_to_blackshroud.pcapng,0,main,669,187,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-015,changed-same-count-nonempty,
occurrence-064,from_gridania_to_blackshroud.pcapng,0,main,678,198,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-016,changed-same-count-nonempty,
occurrence-065,from_gridania_to_blackshroud.pcapng,0,main,690,210,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-017,changed-same-count-nonempty,
occurrence-066,from_gridania_to_blackshroud.pcapng,0,main,706,225,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-018,changed-same-count-nonempty,
occurrence-067,from_gridania_to_blackshroud.pcapng,0,main,890,252,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-019,changed-same-count-nonempty,
occurrence-068,from_gridania_to_blackshroud.pcapng,0,main,898,260,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-020,changed-same-count-nonempty,
occurrence-069,from_gridania_to_blackshroud.pcapng,0,main,908,270,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-021,changed-same-count-nonempty,
occurrence-070,from_gridania_to_blackshroud.pcapng,0,main,917,279,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-022,changed-same-count-nonempty,
occurrence-071,gather_wood.pcapng,0,main,14,5,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-072,gather_wood.pcapng,0,main,50,21,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-073,gather_wood.pcapng,0,main,91,34,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-074,gather_wood.pcapng,0,main,124,47,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-075,gather_wood.pcapng,0,main,161,58,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-076,gather_wood.pcapng,0,main,199,72,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-077,gather_wood.pcapng,0,main,238,84,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-078,gather_wood.pcapng,0,main,287,101,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-079,gather_wood.pcapng,0,main,327,112,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-080,gather_wood.pcapng,0,main,356,122,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-081,gather_wood.pcapng,0,main,394,133,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-082,gather_wood.pcapng,0,main,424,144,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-083,gather_wood.pcapng,0,main,468,159,10,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-084,gather_wood.pcapng,0,main,501,173,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-085,gather_wood.pcapng,0,main,533,185,1,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-086,gather_wood.pcapng,0,main,595,204,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-087,gather_wood.pcapng,0,main,647,218,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-088,gather_wood.pcapng,0,main,898,238,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-089,gridania_map.pcapng,0,main,13,4,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-090,gridania_map.pcapng,0,main,49,13,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,repeated-nonempty,1
occurrence-091,gridania_to_coerthas.pcapng,0,main,74,13,10,value-001,value-001,value-002,value-003,value-004,1,snapshot-001,first-observed-nonempty,
occurrence-092,gridania_to_coerthas.pcapng,0,main,213,30,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-002,changed-same-count-nonempty,
occurrence-093,gridania_to_coerthas.pcapng,0,main,238,40,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-003,changed-same-count-nonempty,
occurrence-094,gridania_to_coerthas.pcapng,0,main,261,50,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-004,changed-same-count-nonempty,
occurrence-095,gridania_to_coerthas.pcapng,0,main,277,58,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-005,changed-same-count-nonempty,
occurrence-096,gridania_to_coerthas.pcapng,0,main,300,69,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-006,changed-same-count-nonempty,
occurrence-097,gridania_to_coerthas.pcapng,0,main,317,81,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-007,changed-same-count-nonempty,
occurrence-098,gridania_to_coerthas.pcapng,0,main,333,98,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-008,changed-same-count-nonempty,
occurrence-099,gridania_to_coerthas.pcapng,0,main,344,109,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-009,changed-same-count-nonempty,
occurrence-100,gridania_to_coerthas.pcapng,0,main,352,117,0,value-001,value-001,value-002,value-003,value-004,1,snapshot-010,changed-same-count-nonempty,
