sequence,stage,capture_packet_index,capture_timestamp_utc,lane_index,lane,direction,frame_index,frame_stream_offset,subevent_index,subevent_offset,subevent_size,opcode,transport_source_actor_id_hex,transport_target_actor_id_hex,event_name,function_name,attributable_fields,application_sha256
1,activation-interaction,18,2012-12-31T04:57:47.610209Z,0,main,c2s,6,976,2,104,216,0x012d,0x029b2941,0x029b2941,talkDefault,,trigger_actor_id=0x029b2941;owner_actor_id=0x4510000c,3474f6c31eea177d8931ab9e69bfb271d6ea42845380ca98ee6d9d038341ba76
2,aetheryte-selection,22,2012-12-31T04:57:48.167636Z,0,main,s2c,7,705,0,0,176,0x0130,0x029b2941,0x029b2941,,eventAetheryteChildSelect,,1d0913ba3c66bd105e853317531f858bd250cc663bb9b583f5897315fc6787a4
3,aetheryte-selection-response,35,2012-12-31T04:57:50.099503Z,0,main,c2s,13,2392,1,64,120,0x012e,0x029b2941,0x029b2941,,,,ec6fabc4400b6ec78c6ffc353cdf87c6cc2e081e2d2f0884d3aee90e10f9407d
4,journal-selection,39,2012-12-31T04:57:50.630318Z,0,main,s2c,17,1678,0,0,176,0x0130,0x029b2941,0x029b2941,,eventGLSelect,,23ba5dd62dd4641b4c991624baad3367d98db5ff54629239d3d5550564e3eec1
5,journal-selection-response,57,2012-12-31T04:57:52.986367Z,0,main,c2s,21,3832,1,64,120,0x012e,0x029b2941,0x029b2941,,,,9e21464ad9a7b7f454a9359cbcf2ff45c3b07c820702abfce01b862a43c1a8e6
6,journal-detail,60,2012-12-31T04:57:53.547519Z,0,main,s2c,28,2983,0,0,176,0x0130,0x029b2941,0x029b2941,,eventGLSelectDetail,guildleve_id=12487,1d779eae322f91a6e6f5b97df3b11f28b9f5c1c134bac8d08d701368d5e93f31
7,journal-detail-response,72,2012-12-31T04:57:55.126306Z,0,main,c2s,27,4928,1,64,120,0x012e,0x029b2941,0x029b2941,,,,0e1304ca625e25e328a360b1f860f7d30d4f03499d58375cd7555cf2738f51d9
8,difficulty-selection,75,2012-12-31T04:57:55.653983Z,0,main,s2c,35,3736,1,40,176,0x0130,0x029b2941,0x029b2941,,eventGLDifficulty,guildleve_id=12487,c0484788f00f76f06cff126658349dfa9e8252000c6bd1566482ddaa797585f4
9,difficulty-response,90,2012-12-31T04:57:57.550993Z,0,main,c2s,34,6224,1,64,120,0x012e,0x029b2941,0x029b2941,,,,67014726dc30e67540b35168cf2642ff7fefe82e1af65bd6b27834c2ec1dca8a
10,activation-confirmation,94,2012-12-31T04:57:58.109897Z,0,main,s2c,40,4319,2,128,176,0x0130,0x029b2941,0x029b2941,,eventGLStart,guildleve_id=12487,01aa082d14a6045fa859cc32d6ec88091d61a957b87e6a3c57d0a22ef962165d
11,activation-response,110,2012-12-31T04:58:00.469017Z,0,main,c2s,42,7664,2,128,120,0x012e,0x029b2941,0x029b2941,,,,1d2d47b05440d2ff13a1075b542e29130bc62d8300e89a01c6d1e003bcb402ac
12,content-group-start,156,2012-12-31T04:58:06.896121Z,0,main,s2c,78,9469,0,0,152,0x017c,0x029b2941,0x029b2941,,,group_type=30001,831b0be41fc52ff2b466264eea6d200055b70259d45c5ffa9f17c8834a75e962
