capture,lane_index,lane,capture_event_index,lane_event_index,frame_index,subevent_index,source_actor,target_actor,nonzero_status_count,nonzero_slots,wire_status_ids_hex
combat_autoattack.pcapng,0,main,419,134,47,13,actor-01,actor-02,0,,
combat_autoattack.pcapng,0,main,842,557,123,13,actor-03,actor-02,0,,
combat_autoattack.pcapng,0,main,860,575,123,31,actor-04,actor-02,0,,
combat_autoattack.pcapng,0,main,878,593,124,11,actor-01,actor-02,0,,
combat_autoattack.pcapng,0,main,896,611,124,29,actor-05,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,754,24,5,10,actor-01,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,783,53,11,10,actor-03,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,798,68,12,6,actor-04,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,831,101,21,9,actor-05,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,847,117,24,6,actor-06,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,887,157,33,6,actor-07,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,908,178,38,10,actor-08,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,937,207,42,11,actor-09,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,952,222,42,26,actor-10,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1000,270,54,2,actor-10,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1017,287,54,19,actor-11,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1037,307,59,10,actor-12,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1067,337,64,10,actor-13,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1082,352,64,25,actor-14,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1097,367,65,1,actor-11,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1126,396,71,6,actor-15,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1141,411,71,21,actor-16,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1156,426,71,36,actor-17,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1171,441,72,12,actor-18,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1389,659,182,11,actor-19,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1477,747,237,24,actor-02,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1540,810,246,11,actor-20,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1552,822,246,23,actor-21,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1563,833,246,34,actor-22,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1577,847,247,3,actor-23,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1589,859,247,15,actor-24,actor-02,0,,
from_gridania_to_blackshroud.pcapng,0,main,1604,874,247,30,actor-25,actor-02,0,,
gather_wood.pcapng,0,main,1081,574,196,10,actor-01,actor-02,0,,
gather_wood.pcapng,0,main,1133,626,210,13,actor-03,actor-02,0,,
gridania_to_coerthas.pcapng,0,main,3259,39,10,6,actor-01,actor-02,0,,
