occurrence,capture,lane_index,direction,lane_frame_index,subevent_index,subevent_size,outer_size,single_subevent_frame,source_actor_token,destination_actor_token,wrapper_counter_token,header_tag,opcode,header_reserved,chat_group_selector,prefix_reserved,context_token,sender_name_token,sender_name_length,message_token,message_length,message_utf8_roundtrip,tail_token,tail_zero
1,party_battle_leve.pcapng,1,c2s,2,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-1,42,true,tail-1,false
2,party_battle_leve.pcapng,1,c2s,4,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-2,19,true,tail-1,false
3,party_battle_leve.pcapng,1,c2s,6,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-3,15,true,tail-1,false
4,party_battle_leve.pcapng,1,c2s,9,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-4,92,true,tail-2,false
5,party_battle_leve.pcapng,1,c2s,10,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-5,19,true,tail-1,false
6,party_battle_leve.pcapng,1,c2s,11,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-6,32,true,tail-1,false
7,party_battle_leve.pcapng,1,c2s,15,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-7,5,true,tail-1,false
8,party_battle_leve.pcapng,1,c2s,19,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-8,3,true,tail-1,false
9,party_battle_leve.pcapng,1,c2s,20,0,552,568,true,actor-1,actor-1,counter-1,0x0014,0x00c9,0,10,0,context-1,,,message-9,27,true,tail-1,false
10,party_battle_leve.pcapng,1,s2c,1,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-10,2,true,tail-3,true
11,party_battle_leve.pcapng,1,s2c,2,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-11,51,true,tail-3,true
12,party_battle_leve.pcapng,1,s2c,4,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-12,13,true,tail-3,true
13,party_battle_leve.pcapng,1,s2c,5,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-13,44,true,tail-3,true
14,party_battle_leve.pcapng,1,s2c,7,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-14,42,true,tail-3,true
15,party_battle_leve.pcapng,1,s2c,8,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-15,12,true,tail-3,true
16,party_battle_leve.pcapng,1,s2c,10,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-16,43,true,tail-3,true
17,party_battle_leve.pcapng,1,s2c,11,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-17,3,true,tail-3,true
18,party_battle_leve.pcapng,1,s2c,12,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-18,16,true,tail-3,true
19,party_battle_leve.pcapng,1,s2c,14,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-19,77,true,tail-3,true
20,party_battle_leve.pcapng,1,s2c,15,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-20,61,true,tail-3,true
21,party_battle_leve.pcapng,1,s2c,16,0,584,600,true,actor-2,actor-1,counter-2,0x0014,0x00c9,0,10,0,context-1,sender-name-1,21,message-21,39,true,tail-3,true
